commit ID,author name,committer name,message,URL,commit date
C_kwDOAyxcHdoAKDAyY2VmOTY4YTJiMzViNmM1NzAwMzA3OGNhYmE4YzE0MjExZTQ0MjM,Dawid Dziurla,Dawid Dziurla,dev-cmd/bump-formula-pr: always use full git repo as tap remote,https://api.github.com/repos/Homebrew/brew/git/commits/02cef968a2b35b6c57003078caba8c14211e4423,2024-10-15
C_kwDOAyxcHdoAKGMyZTJiMjNjNTAxYjZjNzhlNDM1YzA2MjJjMjcyNTczMGM2ZmQwYzc,Patrick Linnane,Patrick Linnane,"`brew style --fix`

Signed-off-by: Patrick Linnane <patrick@linnane.io>",https://api.github.com/repos/Homebrew/brew/git/commits/c2e2b23c501b6c78e435c0622c2725730c6fd0c7,2024-09-04
C_kwDOAyxcHdoAKDU0ZDQ4NGQ0Mjg5MDNiY2M5YTE5NDk2MDUwOGU4NjI4MjVhMTY0ODQ,Mike McQuaid,GitHub,"Merge pull request #18464 from benknoble/bk/tap-info-commit

feat(tap-info): display Git information about non-Core/non-API taps",https://api.github.com/repos/Homebrew/brew/git/commits/54d484d428903bcc9a194960508e862825a16484,2024-10-01
C_kwDOAyxcHdoAKDM0MjllNzRkN2UwODkxM2ViM2NkNDY2NWVhMDJmOTNiYWM2NzNlNWQ,D. Ben Knoble,D. Ben Knoble,"feat(tap-info): display Git information about non-Core/non-API taps

Copy and tweak code from Library/Homebrew/system_config.rb:110 to commit
and date information. This information can be useful when debugging
formulae in custom taps to ensure the tap has been correctly updated
recently or to suss out important differences from one version of a tap
to another.

This removes the need to ask users to run something like

    git -C $(brew --repository)/Library/Taps/<tap> show -s --decorate

Close https://github.com/Homebrew/brew/issues/18381",https://api.github.com/repos/Homebrew/brew/git/commits/3429e74d7e08913eb3cd4665ea02f93bac673e5d,2024-09-30
C_kwDOAyxcHdoAKDVjOGZmNzc4OGZkZWRiOWUxZjNkY2JiZTUzYzljZjFlNzljN2IyNzA,Mike McQuaid,Mike McQuaid,"tap: add repository key.

Follow up from #18445 that may allow us to
deprecate the old name in future.",https://api.github.com/repos/Homebrew/brew/git/commits/5c8ff7788fdedb9e1f3dcbbe53c9cf1e79c7b270,2024-09-30
C_kwDOAyxcHdoAKDRhYjhmNDg1ZDU5Mzg4OWQyMTQ3YjRlMDY0ZGY0NGVlNDZlZjVkMWY,Carlo Cabrera,Carlo Cabrera,"tap: restore old `repo` key

Fixes #18444",https://api.github.com/repos/Homebrew/brew/git/commits/4ab8f485d593889d2147b4e064df44ee46ef5d1f,2024-09-27
C_kwDOAyxcHdoAKDk0NDE2ZTgyZjBlNTljZWE1NTE1MzAwNWRiOTMzMzVmZmViNzQ0Zjk,Mike McQuaid,Mike McQuaid,"Add new odeprecated, odisabled, remove disabled code.

Prepare the usual deprecation cycle for Homebrew 4.4.0.",https://api.github.com/repos/Homebrew/brew/git/commits/94416e82f0e59cea55153005db93335ffeb744f9,2024-09-24
C_kwDOAyxcHdoAKDYzOGEzZGMzYTMzYzRjMjAyOWRiMDU4Y2YzZDM5OTAwODYyMWU5NzM,Mike McQuaid,GitHub,Merge pull request #18167 from Homebrew/fix-cask-formula-file-validation-v2,https://api.github.com/repos/Homebrew/brew/git/commits/638a3dc3a33c4c2029db058cf3d399008621e973,2024-08-29
C_kwDOAyxcHdoAKDYwYjg4NzhmMjE3NmQ3Njk4YmY3ODljNWZkYmJlZmM4MjFiOGFiMDU,apainintheneck,apainintheneck,"tap: share components of formula and cask file path regexes

The goal here is to make things easier to read by better
describing how different regexes are similar to each other.",https://api.github.com/repos/Homebrew/brew/git/commits/60b8878f2176d7698bf789c5fdbbefc821b8ab05,2024-08-29
C_kwDOAyxcHdoAKDYyYTQ3MzRjOTAyNjUwMGI3N2QzMGQwOTIyNTJiN2UxYWQ1OWU2Y2M,apainintheneck,apainintheneck,tap: add tests for formula_file? and cask_file?,https://api.github.com/repos/Homebrew/brew/git/commits/62a4734c9026500b77d30d092252b7e1ad59e6cc,2024-08-27
